BFS_NR,GEMEINDE_NAME,Jahr,Gemeindesteuerfuss
4751,Rickenbach,2022,51
4751,Rickenbach,2021,51
4751,Rickenbach,2020,51
4751,Rickenbach,2019,51
4751,Rickenbach,2018,51
4751,Rickenbach,2017,51
4751,Rickenbach,2016,51
4751,Rickenbach,2015,51
4751,Rickenbach,2014,46
4751,Rickenbach,2013,46
4751,Rickenbach,2012,46
4751,Rickenbach,2011,46
4751,Rickenbach,2010,46
4751,Rickenbach,2009,48
4751,Rickenbach,2008,48
4751,Rickenbach,2007,48
4751,Rickenbach,2006,48
4751,Rickenbach,2005,50
4751,Rickenbach,2004,50
4746,Münchwilen,2022,61
4746,Münchwilen,2021,61
4746,Münchwilen,2020,61
4746,Münchwilen,2019,61
4746,Münchwilen,2018,61
4746,Münchwilen,2017,61
4746,Münchwilen,2016,61
4746,Münchwilen,2015,57
4746,Münchwilen,2014,57
4746,Münchwilen,2013,57
4746,Münchwilen,2012,57
4746,Münchwilen,2011,57
4746,Münchwilen,2010,57
4746,Münchwilen,2009,57
4746,Münchwilen,2008,57
4746,Münchwilen,2007,57
4746,Münchwilen,2006,57
4746,Münchwilen,2005,57
4746,Münchwilen,2004,57
4651,Gottlieben,2022,50
4651,Gottlieben,2021,50
4651,Gottlieben,2020,50
4651,Gottlieben,2019,50
4651,Gottlieben,2018,45
4651,Gottlieben,2017,40
4651,Gottlieben,2016,40
4651,Gottlieben,2015,40
4651,Gottlieben,2014,40
4651,Gottlieben,2013,40
4651,Gottlieben,2012,35
4651,Gottlieben,2011,35
4651,Gottlieben,2010,35
4651,Gottlieben,2009,35
4651,Gottlieben,2008,35
4651,Gottlieben,2007,40
4651,Gottlieben,2006,40
4651,Gottlieben,2005,40
4651,Gottlieben,2004,45
4721,Bichelsee-Balterswil,2022,54
4721,Bichelsee-Balterswil,2021,49
4721,Bichelsee-Balterswil,2020,49
4721,Bichelsee-Balterswil,2019,49
4721,Bichelsee-Balterswil,2018,49
4721,Bichelsee-Balterswil,2017,49
4721,Bichelsee-Balterswil,2016,49
4721,Bichelsee-Balterswil,2015,49
4721,Bichelsee-Balterswil,2014,44
4721,Bichelsee-Balterswil,2013,44
4721,Bichelsee-Balterswil,2012,44
4721,Bichelsee-Balterswil,2011,44
4721,Bichelsee-Balterswil,2010,44
4721,Bichelsee-Balterswil,2009,44
4721,Bichelsee-Balterswil,2008,44
4721,Bichelsee-Balterswil,2007,47
4721,Bichelsee-Balterswil,2006,47
4721,Bichelsee-Balterswil,2005,47
4721,Bichelsee-Balterswil,2004,49
