BFS_NR,GEMEINDE_NAME,Jahr,Gemeindesteuerfuss
4816,Homburg,2022,50
4816,Homburg,2021,52
4816,Homburg,2020,55
4816,Homburg,2019,55
4816,Homburg,2018,55
4816,Homburg,2017,60
4816,Homburg,2016,62
4816,Homburg,2015,62
4816,Homburg,2014,64
4816,Homburg,2013,67
4816,Homburg,2012,67
4816,Homburg,2011,72
4816,Homburg,2010,80
4816,Homburg,2009,80
4816,Homburg,2008,80
4816,Homburg,2007,85
4816,Homburg,2006,85
4816,Homburg,2005,85
4816,Homburg,2004,85
4495,Hohentannen,2022,50
4495,Hohentannen,2021,55
4495,Hohentannen,2020,55
4495,Hohentannen,2019,60
4495,Hohentannen,2018,60
4495,Hohentannen,2017,60
4495,Hohentannen,2016,60
4495,Hohentannen,2015,60
4495,Hohentannen,2014,64
4495,Hohentannen,2013,64
4495,Hohentannen,2012,69
4495,Hohentannen,2011,69
4495,Hohentannen,2010,79
4495,Hohentannen,2009,79
4495,Hohentannen,2008,85
4495,Hohentannen,2007,85
4495,Hohentannen,2006,85
4495,Hohentannen,2005,90
4495,Hohentannen,2004,90
4806,Eschenz,2022,49
4806,Eschenz,2021,49
4806,Eschenz,2020,49
4806,Eschenz,2019,49
4806,Eschenz,2018,54
4806,Eschenz,2017,54
4806,Eschenz,2016,54
4806,Eschenz,2015,54
4806,Eschenz,2014,54
4806,Eschenz,2013,60
4806,Eschenz,2012,60
4806,Eschenz,2011,60
4806,Eschenz,2010,65
4806,Eschenz,2009,65
4806,Eschenz,2008,65
4806,Eschenz,2007,65
4806,Eschenz,2006,75
4806,Eschenz,2005,75
4806,Eschenz,2004,85
4406,Dozwil,2022,42
4406,Dozwil,2021,44
4406,Dozwil,2020,44
4406,Dozwil,2019,44
4406,Dozwil,2018,44
4406,Dozwil,2017,47
4406,Dozwil,2016,47
4406,Dozwil,2015,47
4406,Dozwil,2014,47
4406,Dozwil,2013,47
4406,Dozwil,2012,49
4406,Dozwil,2011,52
4406,Dozwil,2010,55
4406,Dozwil,2009,59
4406,Dozwil,2008,65
4406,Dozwil,2007,75
4406,Dozwil,2006,79
4406,Dozwil,2005,82
4406,Dozwil,2004,84
4921,Bussnang,2022,47
4921,Bussnang,2021,47
4921,Bussnang,2020,47
4921,Bussnang,2019,47
4921,Bussnang,2018,50
4921,Bussnang,2017,50
4921,Bussnang,2016,50
4921,Bussnang,2015,50
4921,Bussnang,2014,50
4921,Bussnang,2013,50
4921,Bussnang,2012,50
4921,Bussnang,2011,50
4921,Bussnang,2010,55
4921,Bussnang,2009,59
4921,Bussnang,2008,65
4921,Bussnang,2007,85
4921,Bussnang,2006,85
4921,Bussnang,2005,85
4921,Bussnang,2004,90
