BFS_NR,GEMEINDE_NAME,Jahr,Gemeindesteuerfuss
4711,Affeltrangen,2022,48
4801,Berlingen,2022,53
4901,Birwinken,2022,57
4471,Bischofszell,2022,70
4643,Bottighofen,2022,34
4911,Bürglen,2022,59
4921,Bussnang,2022,47
4545,Diessenhofen,2022,47
4406,Dozwil,2022,42
4646,Ermatingen,2022,40
4571,Gachnang,2022,42
4656,Güttingen,2022,54
4590,Hüttlingen,2022,60
4741,Lommis,2022,45
4746,Münchwilen,2022,61
4601,Neunforn,2022,39
4841,Pfyn,2022,63
4436,Romanshorn,2022,72
4761,Sirnach,2022,53
4696,Tägerwilen,2022,33
4451,Uttwil,2022,48
4871,Wagenhausen,2022,56
4621,Warth-Weiningen,2022,32
4641,Altnau,2022,57
4881,Amlikon-Bissegg,2022,70
4536,Basadingen-Schlattingen,2022,52
4891,Berg,2022,42
4716,Bettwiesen,2022,47
4476,Erlen,2022,42
4806,Eschenz,2022,49
4561,Felben-Wellhausen,2022,50
4651,Gottlieben,2022,50
4416,Hefenhofen,2022,66
4811,Herdern,2022,57
4495,Hohentannen,2022,50
4421,Horn,2022,34
4666,Kemmental,2022,58
4426,Kesswil,2022,45
4671,Kreuzlingen,2022,66
4681,Langrickenbach,2022,65
4826,Mammern,2022,37
4831,Müllheim,2022,48
4691,Münsterlingen,2022,37
4431,Roggwil,2022,44
4851,Salenstein,2022,44
4441,Salmsach,2022,59
4756,Schönholzerswilen,2022,58
4446,Sommeri,2022,55
4776,Tobel-Tägerschen,2022,50
4781,Wängi,2022,49
4946,Weinfelden,2022,55
4511,Zihlschlacht-Sitterdorf,2022,65
4551,Aadorf,2022,55
4461,Amriswil,2022,63
4401,Arbon,2022,72
4721,Bichelsee-Balterswil,2022,54
4723,Braunau,2022,49
4411,Egnach,2022,55
4724,Eschlikon,2022,48
4726,Fischingen,2022,61
4566,Frauenfeld,2022,60
4486,Hauptwil-Gottshaus,2022,55
4816,Homburg,2022,50
4821,Hüttwilen,2022,48
4501,Kradolf-Schönenberg,2022,55
4683,Lengwil,2022,54
4941,Märstetten,2022,51
4591,Matzingen,2022,56
4846,Raperswilen,2022,69
4751,Rickenbach,2022,51
4546,Schlatt,2022,48
4864,Steckborn,2022,60
4606,Stettfurt,2022,48
4506,Sulgen,2022,50
4611,Thundorf,2022,52
4616,Uesslingen-Buch,2022,52
4701,Wäldi,2022,52
4951,Wigoltingen,2022,65
4786,Wilen,2022,42
4791,Wuppenau,2022,55
4551,Aadorf,2021,55
4711,Affeltrangen,2021,48
4401,Arbon,2021,76
4536,Basadingen-Schlattingen,2021,52
4721,Bichelsee-Balterswil,2021,49
4471,Bischofszell,2021,70
4646,Ermatingen,2021,40
4724,Eschlikon,2021,50
4726,Fischingen,2021,66
4566,Frauenfeld,2021,60
4651,Gottlieben,2021,50
4486,Hauptwil-Gottshaus,2021,55
4666,Kemmental,2021,58
4426,Kesswil,2021,50
4501,Kradolf-Schönenberg,2021,59
4671,Kreuzlingen,2021,66
4683,Lengwil,2021,54
4741,Lommis,2021,45
4826,Mammern,2021,37
4941,Märstetten,2021,51
4691,Münsterlingen,2021,37
4846,Raperswilen,2021,69
4506,Sulgen,2021,50
4696,Tägerwilen,2021,33
4871,Wagenhausen,2021,56
4881,Amlikon-Bissegg,2021,70
4801,Berlingen,2021,53
4723,Braunau,2021,49
4921,Bussnang,2021,47
4406,Dozwil,2021,44
4476,Erlen,2021,52
4806,Eschenz,2021,49
4571,Gachnang,2021,42
4416,Hefenhofen,2021,66
4495,Hohentannen,2021,55
4421,Horn,2021,34
