BFS_NR_GEMEINDE,GEMEINDE_NAME,Jahr,Gesamtsteuerfuss_evang,Gesamtsteuerfuss_kath,Gesamtsteuerfuss_JP
4711,Affeltrangen,2023,277,275,276.1
4641,Altnau,2023,273,266,270.0
4881,Amlikon-Bissegg,2023,286,290,287.3
4716,Bettwiesen,2023,264,263,263.3
4721,Bichelsee-Balterswil,2023,284,283,283.4
4901,Birwinken,2023,288,285,287.2
4471,Bischofszell,2023,295,291,292.8
4643,Bottighofen,2023,210,215,212.1
4911,Bürglen,2023,292,288,290.1
4545,Diessenhofen,2023,271,269,270.0
4646,Ermatingen,2023,230,230,230.0
4561,Felben-Wellhausen,2023,266,264,265.1
4651,Gottlieben,2023,264,255,259.8
4656,Güttingen,2023,278,265,272.6
4416,Hefenhofen,2023,290,291,290.4
4495,Hohentannen,2023,277,273,275.4
4421,Horn,2023,230,226,227.5
4666,Kemmental,2023,282,275,279.7
4671,Kreuzlingen,2023,257,256,256.4
4681,Langrickenbach,2023,279,272,276.6
4683,Lengwil,2023,265,257,261.8
4826,Mammern,2023,257,254,255.6
4746,Münchwilen,2023,283,280,281.2
4691,Münsterlingen,2023,235,240,237.4
4841,Pfyn,2023,290,290,290.0
4431,Roggwil,2023,271,271,271.0
4851,Salenstein,2023,239,239,239.0
4546,Schlatt,2023,273,265,271.0
4756,Schönholzerswilen,2023,290,282,286.7
4606,Stettfurt,2023,275,271,273.5
4776,Tobel-Tägerschen,2023,282,280,280.7
4621,Warth-Weiningen,2023,213,209,211.4
4951,Wigoltingen,2023,292,287,290.1
4551,Aadorf,2023,279,279,279.0
4536,Basadingen-Schlattingen,2023,280,270,276.4
4801,Berlingen,2023,262,257,260.3
4921,Bussnang,2023,262,266,263.5
4411,Egnach,2023,279,279,279.0
4726,Fischingen,2023,291,291,291.0
4566,Frauenfeld,2023,269,269,269.0
4571,Gachnang,2023,256,257,256.3
4486,Hauptwil-Gottshaus,2023,282,278,279.8
4811,Herdern,2023,274,270,272.2
4816,Homburg,2023,278,285,281.1
4590,Hüttlingen,2023,294,284,291.6
4821,Hüttwilen,2023,266,262,264.7
4426,Kesswil,2023,257,248,253.4
4501,Kradolf-Schönenberg,2023,282,278,280.3
4591,Matzingen,2023,286,279,282.4
4601,Neunforn,2023,248,244,247.2
4846,Raperswilen,2023,293,296,293.6
4436,Romanshorn,2023,295,292,293.3
4441,Salmsach,2023,288,285,286.4
4446,Sommeri,2023,279,280,279.5
4864,Steckborn,2023,251,249,250.0
4611,Thundorf,2023,289,277,285.8
4616,Uesslingen-Buch,2023,272,262,268.8
4451,Uttwil,2023,243,248,245.1
4701,Wäldi,2023,289,277,285.2
4781,Wängi,2023,276,270,272.8
4786,Wilen,2023,269,268,268.3
4791,Wuppenau,2023,285,284,284.3
4511,Zihlschlacht-Sitterdorf,2023,290,288,289.1
4461,Amriswil,2023,287,284,285.4
4401,Arbon,2023,306,304,304.8
4891,Berg,2023,267,270,268.0
4723,Braunau,2023,278,276,277.0
4406,Dozwil,2023,254,254,254.0
4476,Erlen,2023,282,278,280.2
4806,Eschenz,2023,268,272,269.9
4724,Eschlikon,2023,273,270,271.5
4741,Lommis,2023,275,268,271.3
4941,Märstetten,2023,285,277,282.0
4831,Müllheim,2023,268,269,268.3
4751,Rickenbach,2023,275,274,274.2
4761,Sirnach,2023,272,268,269.3
4506,Sulgen,2023,277,273,275.1
4696,Tägerwilen,2023,250,241,246.0
4871,Wagenhausen,2023,277,281,278.0
4946,Weinfelden,2023,261,263,261.8
4891,Berg,2022,267,270,268.0
4716,Bettwiesen,2022,264,263,263.3
4471,Bischofszell,2022,297,293,294.8
4911,Bürglen,2022,292,288,290.1
4411,Egnach,2022,279,279,279.0
4476,Erlen,2022,272,268,270.2
4726,Fischingen,2022,295,295,295.0
4571,Gachnang,2022,261,262,261.3
4811,Herdern,2022,273,271,272.1
4816,Homburg,2022,290,293,291.3
4426,Kesswil,2022,258,249,254.4
4501,Kradolf-Schönenberg,2022,282,278,280.3
4681,Langrickenbach,2022,281,274,278.6
4683,Lengwil,2022,270,260,266.0
4826,Mammern,2022,253,250,251.6
4831,Müllheim,2022,268,269,268.3
4841,Pfyn,2022,290,290,290.0
4431,Roggwil,2022,271,271,271.0
4436,Romanshorn,2022,297,294,295.3
4441,Salmsach,2022,288,285,286.4
4546,Schlatt,2022,273,265,271.0
4756,Schönholzerswilen,2022,290,286,288.3
4761,Sirnach,2022,275,272,273.0
4606,Stettfurt,2022,275,271,273.5
4451,Uttwil,2022,244,249,246.1
4701,Wäldi,2022,289,277,285.2
4946,Weinfelden,2022,263,265,263.8
4711,Affeltrangen,2022,277,275,276.1
4641,Altnau,2022,277,270,274.0
4461,Amriswil,2022,287,284,285.4
4401,Arbon,2022,306,304,304.8
4643,Bottighofen,2022,212,217,214.1
4723,Braunau,2022,278,276,277.0
4545,Diessenhofen,2022,271,269,270.0
4646,Ermatingen,2022,235,235,235.0
4806,Eschenz,2022,268,272,269.9
4651,Gottlieben,2022,270,262,266.3
4656,Güttingen,2022,280,267,274.6
4416,Hefenhofen,2022,290,291,290.4
